Case,CL,CD,Cp_1,Cp_2,Cp_3,Cp_4,Cp_5,Cp_6,Cp_7,Cp_8,Cp_9
AOA_-4_GUST_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOA_-4_GUST_20,0.847517957840417,0.2895087864215871,-0.2607842837507267,-0.6974424243504544,-1.444069934136599,-2.1831653271398137,0.06545904371919178,1.122678772836119,0.6178283116971752,0.3259629541166976,0.16160778257009328
AOA_-4_GUST_20,0.9393650581132947,0.30770220800166476,-0.3104146429470164,-0.7357912658004242,-1.7596882263050355,-2.1405618458893123,-0.014724941457197466,1.0858362767025302,0.598505466708467,0.2995154420482861,0.1434920587025276
AOA_-4_GUST_20,1.0043092375831328,0.32516090265958636,-0.336752081963371,-0.7544752596095159,-1.8925001725259871,-2.1178779894066198,-0.06189429402015961,1.0809928696616506,0.611697059182325,0.3049621578477821,0.1459824725876394
AOA_-4_GUST_20,1.0595033133039482,0.3413895126194449,-0.35018426249484547,-0.832123021406932,-1.9399527929108211,-2.098541027473888,-0.10233443703798867,1.0814463104884753,0.6295080946968921,0.3163440634106857,0.1550124909612454
AOA_-4_GUST_20,1.106441544000982,0.35672629512102644,-0.3599997869946543,-0.9500765018440227,-1.9711723463814257,-2.0827837608391917,-0.13746062871268594,1.0817761728178596,0.6439624589120241,0.32646548084958193,0.15868694603112396
AOA_-4_GUST_20,1.1538694197194228,0.3734456410293073,-0.3650965911440389,-1.0888160998890744,-1.9961813939808475,-2.063172573496901,-0.17185513801370006,1.0820420377527027,0.6574077794417069,0.3366128743215505,0.16084090614211
AOA_-4_GUST_20,1.197421304317604,0.3899398698234982,-0.3735345550762085,-1.2163074703940213,-2.00557045555798,-2.0437445251775443,-0.19626289980298386,1.0850062201631867,0.6714676840821199,0.34765196840250245,0.16314952884638245
AOA_-4_GUST_20,1.2409431050725395,0.40724391158217293,-0.39333580146368197,-1.336529671697546,-2.0068814272562743,-2.018659755283311,-0.21640429847216835,1.0890890632308616,0.6857990129955739,0.35940688277423394,0.16719768575746763
AOA_-4_GUST_20,1.2835490827672065,0.4249697239045825,-0.42461019153368657,-1.4509066424392532,-2.0022312527287105,-1.989492099259552,-0.23181116718167483,1.0928474281336393,0.6988941811589933,0.37011035389390606,0.17233143098248016
AOA_-4_GUST_20,1.3229841412010215,0.44218762785137117,-0.46602162097204136,-1.5488302507654987,-1.9922959843321535,-1.9575515877901402,-0.24217270161282206,1.0971700988481325,0.7104344707479704,0.37998976355561176,0.1778649198699364
AOA_-4_GUST_20,1.3644266930844398,0.4609332286042651,-0.5267166029897973,-1.640722273860579,-1.9776868176771847,-1.921172211056128,-0.25080801178327,1.0989491360262738,0.719781812131039,0.38792741625905003,0.18251706926517436
AOA_-4_GUST_20,1.4060239861054227,0.48044499877677066,-0.6057724039625367,-1.7166949390525073,-1.9597603233068914,-1.8819258411043673,-0.2558635076057174,1.1006042039882515,0.7282672295006325,0.3948318204805459,0.1864777700991044
AOA_-4_GUST_20,1.4489692260669624,0.5009936720017253,-0.7033224035527155,-1.7613666447661758,-1.9402395978748135,-1.8414481113887247,-0.2547556680656345,1.106400812878977,0.7393639798415175,0.4045517048107,0.19364967691923896
AOA_-4_GUST_20,1.4916550384809304,0.5217738238287184,-0.8300801338667841,-1.7880303058233928,-1.9171576730214395,-1.8025719993594742,-0.25246303414716875,1.1110734230865589,0.7488701142130975,0.4127793120615907,0.20011526460356022
AOA_-4_GUST_20,1.535344721752195,0.5434343827074087,-0.9939330483153496,-1.8028354018804822,-1.8912706448718941,-1.7605843962410246,-0.24794524048031644,1.116907767944777,0.7600941318761666,0.42322379049853787,0.20827349389849795
AOA_-4_GUST_20,1.578009942012865,0.5648751496880943,-1.196959298172983,-1.7985763906600798,-1.8621820691959452,-1.7203801021142486,-0.243732926726289,1.1213512325651207,0.7692794366005611,0.4322144169140164,0.21666780009861716
AOA_-4_GUST_20,1.6196024587757176,0.586355870594972,-1.450231003428372,-1.7879503949330775,-1.8342443285192822,-1.687681229822985,-0.24320302923978454,1.1222856047083838,0.7747279042134506,0.4363895748810881,0.21932946190568775
AOA_-4_GUST_20,1.6609487214350962,0.6074232832580426,-1.6666576275386562,-1.7675361235806366,-1.8018231118324022,-1.6549615605455745,-0.2391293835035355,1.1277559989580446,0.7851752195732238,0.4470535943005892,0.2293011880883848
AOA_-4_GUST_20,1.7000720677918848,0.627870329455694,-1.9144715164369845,-1.7471034500852158,-1.771500513088295,-1.6232789946723178,-0.23486166047309745,1.1339781825001334,0.796139800445709,0.45730537479563876,0.23790882355705562
